,account,age,following,numVotes
369,dirktor,26 days 18:33:01.129902000,4,2
370,mella10,7 days 08:26:25.129902000,1,6
371,csavino,11 days 21:51:37.129902000,1,3
372,kakemann,6 days 09:42:01.129902000,1,1
373,panjawanwiklai,16 days 12:27:58.129902000,1,4
374,kp1978,19 days 20:41:25.129902000,1,62
375,sanduleanandy,7 days 10:29:16.129902000,2,1
376,cyrusvonmoger,152 days 13:35:46.129902000,2,13
377,jlav28,27 days 01:31:31.129902000,2,1
378,akmirror,13 days 07:21:37.129902000,7,1
379,rcpzapanta,25 days 13:32:01.129902000,1,7
380,aurora7,30 days 19:43:16.129902000,8,1
381,lbustos,43 days 00:35:40.129902000,5,7
382,coolybloke,19 days 13:57:19.129902000,5,5
383,cryptil-figgis,13 days 15:27:37.129902000,2,4
384,drsuhail,5 days 22:51:10.129902000,0,4
385,icevodka,27 days 08:53:13.129902000,3,6
386,sicks90,40 days 02:42:22.129902000,2,1
387,patrickj,13 days 17:44:22.129902000,1,21
388,bngcoin,7 days 12:11:13.129902000,1,5
389,asjemenou,43 days 02:21:31.129902000,4,1
390,alex.kutcher,530 days 11:52:01.129902000,7,1
391,akidson,36 days 19:06:25.129902000,10,2
392,nicomedescl,7 days 15:24:40.129902000,2,1
393,suneerchowdhary,66 days 00:45:10.129902000,4,8
394,varunpenna,13 days 18:11:37.129902000,1,1
395,bradonja,146 days 08:05:37.129902000,34,1
396,buttercups,6 days 21:24:40.129902000,1,4
397,erkel,41 days 20:19:37.129902000,6,1
398,sirpthegreat,44 days 12:23:43.129902000,3,16
399,rateenergy,7 days 14:41:19.129902000,1,2
400,j-han,8 days 03:05:25.129902000,1,8
401,loveablekomodo,7 days 11:23:49.129902000,1,7
402,mkh730,5 days 21:42:04.129902000,0,1
403,tylenolnumber3,8 days 03:19:10.129902000,2,3
404,timetraveler100,43 days 10:10:43.129902000,5,48
405,initcrypto,27 days 19:12:01.129902000,5,1
406,kemalkestelli,5 days 21:05:58.129902000,0,1
407,muzzelg,37 days 23:57:16.129902000,4,1
408,dtanka,12 days 12:49:13.129902000,1,7
409,gstar,47 days 10:33:52.129902000,7,16
410,rezadew,7 days 13:26:31.129902000,1,1
411,starwalker08,19 days 16:37:07.129902000,1,3
412,ropaar,18 days 20:58:37.129902000,2,4
413,phatkiller,13 days 17:59:37.129902000,1,1
414,alexcph,118 days 10:18:28.129902000,20,1
415,pyschotar,6 days 17:13:37.129902000,1,1
416,bman18,7 days 13:31:49.129902000,5,3
417,robert69,62 days 20:57:19.129902000,2,4
418,tnaeem786,7 days 14:18:07.129902000,1,3
419,masteritup,7 days 13:42:49.129902000,1,1
420,svaneeckhoutte,7 days 13:09:13.129902000,1,11
421,ezeebeezee,10 days 13:46:28.129902000,1,3
422,propil,7 days 12:05:31.129902000,1,1
